Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Investors Name,InvestmentnType,Amount in USD
1320,2016-10-23,WOTU,eCommerce,KAE capital,Seed Funding,4200000.0
1321,2016-10-24,Healthians,Consumer Internet,BEENEXT,Private Equity,4200000.0
1322,2016-10-24,Box8,Consumer Internet,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,4200000.0
1323,2016-10-25,Kredx,eCommerce,Sequoia Capital,Private Equity,4200000.0
1324,2016-10-25,CreditMate,Consumer Internet,India Quotient,Seed Funding,4200000.0
1325,2016-10-25,Pickrr,Technology,Swastika Company Ltd,Seed Funding,4200000.0
1326,2016-10-25,SatvaKart,eCommerce,Nimit Panigrahi,Seed Funding,4200000.0
1327,2016-10-25,SooperMO,Technology,Lalit Vase,Seed Funding,4200000.0
1328,2016-10-26,OrangeTwig,Consumer Internet,Undisclosed investor,Seed Funding,4200000.0
1329,2016-10-26,Wooplr,Consumer Internet,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,4200000.0
1330,2016-10-26,The Kettlery,eCommerce,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,4200000.0
1331,2016-10-27,Idea Bubbles,Consumer Internet,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,4200000.0
1332,2016-10-27,FR8,Technology,Omnivore Partners,Private Equity,4200000.0
1333,2016-10-27,Ather Energy,Technology,Hero MotoCorp,Private Equity,4200000.0
1334,2016-10-28,Pikkol,Logistics,"Ajay Nanavati, Afsal Salu",Seed Funding,4200000.0
1335,2016-10-29,Velmenni,Technology,Kalaari Capital,Seed Funding,4200000.0
1336,2016-10-29,Volta Motors,Technology,Kalaari Capital,Seed Funding,4200000.0
1337,2016-10-29,Cyclops,Technology,Kalaari Capital,Seed Funding,4200000.0
1338,2016-10-30,Impact Analytics,Technology,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,4200000.0
1339,2016-10-31,Talent Next,Consumer Internet,Karanpal Singh & Others,Seed Funding,4200000.0
1340,2016-09-01,Mad Street Den,Technology,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,4200000.0
1341,2016-09-01,Mihup,Technology,Accel Partners,Private Equity,4200000.0
1342,2016-09-01,Renowala,eCommerce,Pradeep Dhobale,Seed Funding,4200000.0
1343,2016-09-01,Lucideus,Technology,Amit Choudhary,Seed Funding,4200000.0
1344,2016-09-04,Trackbizz,Technology,Grasshoppers,Private Equity,4200000.0
1345,2016-09-05,Social Quotient,Technology,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,4200000.0
1346,2016-09-05,Stalk Buy Love,eCommerce,William Bissel,Seed Funding,4200000.0
1347,2016-09-06,eShakti,eCommerce,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,4200000.0
1348,2016-09-06,CheersOye!,Consumer Internet,Undisclosed Investors,Seed Funding,4200000.0
1349,2016-09-06,Lenskart,eCommerce,PremjiInvest,Private Equity,4200000.0
1350,2016-09-06,BigStylist,Consumer Internet,Info Edge (India) Ltd,Private Equity,4200000.0
1351,2016-09-07,Zilingo,eCommerce,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,4200000.0
1352,2016-09-07,Alternacare,Consumer Internet,Eros Labs,Seed Funding,4200000.0
1353,2016-09-07,Simplilearn,Education,InnoVen Capital India,Private Equity,4200000.0
1354,2016-09-07,Prozo,eCommerce,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,4200000.0
1355,2016-09-08,TopRankers,Education,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,4200000.0
1356,2016-09-08,BuildTraders,eCommerce,Idein Ventures,Seed Funding,4200000.0
1357,2016-09-09,Byju\\xe2\\x80\\x99s,Education,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,4200000.0
1358,2016-09-09,NoBroker,Consumer Internet,Anand Chandrasekaran,Seed Funding,4200000.0
1359,2016-09-10,Freshboxx,eCommerce,Ravi Linganuri,Seed Funding,4200000.0
1360,2016-09-10,CureInstant,Consumer Internet,Dr. Rameshwar Kumar,Seed Funding,4200000.0
1361,2016-09-10,Poshtic,Consumer Internet,"havya Sharma, Amit Nagar",Seed Funding,4200000.0
1362,2016-09-10,KarmaCircles,Consumer Internet,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,4200000.0
1363,2016-09-12,Purple Style Labs,Consumer Internet,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,4200000.0
1364,2016-09-12,Inuxu,Technology,Fork Media,Private Equity,4200000.0
1365,2016-09-12,Nykaa,eCommerce,"Sunil Munjal, Mariwala family",Private Equity,4200000.0
1366,2016-09-12,Glam Studios,Consumer Internet,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,4200000.0
1367,2016-09-13,Findow,Consumer Internet,Raj Singh Bhandal,Seed Funding,4200000.0
1368,2016-09-13,IdeaChakki,Consumer Internet,Ratan Tata,Seed Funding,4200000.0
1369,2016-09-13,ShoeKonnect,eCommerce,Indian Angels Network,Seed Funding,4200000.0
1370,2016-09-13,NearBuy,Consumer Internet,BlackSoil Capital Pvt. Ltd.,Private Equity,4200000.0
1371,2016-09-14,ZeroInfy,Consumer Internet,Calcutta Angels Network,Seed Funding,4200000.0
1372,2016-09-14,Flocareer,Consumer Internet,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed Funding,4200000.0
1373,2016-09-14,LensPick,eCommerce,Scadea Solutions Inc,Private Equity,4200000.0
1374,2016-09-15,infeedo,Consumer Internet,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,4200000.0
1375,2016-09-15,Furlenco,eCommerce,Lightbox Ventures and others,Private Equity,4200000.0
1376,2016-09-15,GoPigeon,Consumer Internet,Nexus Venture Partners,Private Equity,4200000.0
1377,2016-09-16,NewsDistill,Consumer Internet,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,4200000.0
1378,2016-09-16,DoctorInsta,Consumer Internet,RoundGlass Partners,Private Equity,4200000.0
1379,2016-09-19,Milofy,Consumer Internet,Accel Partners,Seed Funding,4200000.0
1380,2016-09-19,Liqvid,Technology,Gray Matters Capital,Private Equity,4200000.0
1381,2016-09-19,Swiggy,Consumer Internet,Bessemer Venture Partners,Private Equity,4200000.0
1382,2016-09-20,Codemojo,Consumer Internet,CIO Angel Network,Seed Funding,4200000.0
1383,2016-09-20,JustLikeNew,eCommerce,LetsVenture,Seed Funding,4200000.0
1384,2016-09-20,JoeHukum,Technology,Sumit Jain,Seed Funding,4200000.0
1385,2016-09-21,Co Life,Consumer Internet,Undisclosed Investors,Seed Funding,4200000.0
1386,2016-09-21,PurpleDocs,Consumer Internet,"KellyGamma, Lead Angels & Others",Seed Funding,4200000.0
1387,2016-09-21,Pepperfry,eCommerce,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,4200000.0
1388,2016-09-21,eQuickies,eCommerce,Lothal Angel Ventures,Seed Funding,4200000.0
1389,2016-09-21,Khel Now,Consumer Internet,Anglian Omega Network,Seed Funding,4200000.0
1390,2016-09-22,Gadgetwood,Consumer Internet,Carpediem Capital,Private Equity,4200000.0
1391,2016-09-22,DailyRounds,Consumer Internet,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,4200000.0
1392,2016-09-22,Flixy Games,Technology,Rebright Partners,Seed Funding,4200000.0
1393,2016-09-22,HashTaag,Technology,Undisclosed investors,Seed Funding,4200000.0
1394,2016-09-22,PharmaRack,Technology,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,4200000.0
1395,2016-09-23,\\xc2\\xa0CloudCherry,Technology,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,4200000.0
1396,2016-09-23,Parentlane,Consumer Internet,Rohit MA,Seed Funding,4200000.0
1397,2016-09-23,First Moms Club,Consumer Internet,Idea Wave Labs,Seed Funding,4200000.0
1398,2016-09-23,inMotion,Technology,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,4200000.0
1399,2016-09-26,Let\xe2\x80\x99s Barter,Consumer Internet,Scale Ventures Funds,Seed Funding,4200000.0
1400,2016-09-26,EvenGini,Consumer Internet,Procam International Pvt. Ltd,Private Equity,4200000.0
1401,2016-09-27,TinyStep,Consumer Internet,Flipkart Logistics Pvt. Ltd,Private Equity,4200000.0
1402,2016-09-27,Canvs,Consumer Internet,Pratik Seal,Seed Funding,4200000.0
1403,2016-09-28,Beardo,eCommerce,Venture Catalysts,Seed Funding,4200000.0
1404,2016-09-28,Instacar,Consumer Internet,Swastika Co Ltd.,Seed Funding,4200000.0
1405,2016-09-28,Celes Care,Consumer Internet,Endiya Partners,Seed Funding,4200000.0
1406,2016-09-28,Druva,Technology,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,4200000.0
1407,2016-09-29,Promon,eCommerce,Now Capital,Seed Funding,4200000.0
1408,2016-09-29,Fastudent,eCommerce,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,4200000.0
1409,2016-09-29,Unocoin,Consumer Internet,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,4200000.0
1410,2016-09-30,Demyto,Consumer Internet,Deepak Nathani,Seed Funding,4200000.0
1411,2016-09-30,Zeta,Technology,Bhavin Turakhia,Private Equity,4200000.0
1412,2016-09-30,Kalaage,Consumer Internet,Rajasthan Angel Innovators Network,Seed Funding,4200000.0
1413,2016-08-01,HealthKart,eCommerce,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,4200000.0
1414,2016-08-01,Medinfi,Consumer Internet,"Mudit Saxena, Evan Lim",Seed Funding,4200000.0
1415,2016-08-01,RepairEasy,Consumer Internet,Undisclosed HNIs,Seed Funding,4200000.0
1416,2016-08-01,Voonik,eCommerce,InnoVen Capital,Private Equity,4200000.0
1417,2016-08-01,Tokri,Consumer Internet,Syska LED group,Private Equity,4200000.0
1418,2016-08-02,Sheroes,Consumer Internet,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,4200000.0
1419,2016-08-02,Daily Ninja,Consumer Internet,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,4200000.0
1420,2016-08-02,Yumlane,Food & Beverage,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,4200000.0
1421,2016-08-03,Xcode,Healthcare,RoundGlass Partners,Private Equity,4200000.0
1422,2016-08-03,ExtraCarbon,Consumer Internet,Brand Capital,Seed Funding,4200000.0
1423,2016-08-03,FlickBay,Consumer Internet,Paul Roy,Seed Funding,4200000.0
1424,2016-08-04,Petoo,Consumer Internet,Existing Investors,Seed Funding,4200000.0
1425,2016-08-04,lehlehsports,Others,Anglian Omega Network,Seed Funding,4200000.0
1426,2016-08-05,Tricog,Healthcare,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,4200000.0
1427,2016-08-06,VST Travels,Technology,Promatus Group,Seed Funding,4200000.0
1428,2016-08-08,AdPushUp,Technology,"Geniee, Inc, Purvi Capital",Private Equity,4200000.0
1429,2016-08-08,Wefly Indoor Skydiving,Others,Swastika Company Ltd.,Seed Funding,4200000.0
1430,2016-08-08,Mojarto,eCommerce,Undisclosed Investors,Seed Funding,4200000.0
1431,2016-08-08,Zipgrid,Consumer Internet,1Crowd (through crowd funding),Seed Funding,4200000.0
1432,2016-08-09,MobiDent,Healthcare,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,4200000.0
1433,2016-08-09,Zeolr/RespirON,Technology,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,4200000.0
1434,2016-08-10,Vebbler,Consumer Internet,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,4200000.0
1435,2016-08-10,Bombay Shaving Company,eCommerce,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,4200000.0
1436,2016-08-11,Travelyaari,Consumer Internet,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,4200000.0
1437,2016-08-11,91SpringBoard,Consumer Internet,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,4200000.0
1438,2016-08-11,Genextstudents,Consumer Internet,1Crowd (through crowdfunding),Seed Funding,4200000.0
1439,2016-08-11,Zenoti,Technology,"Norwest Venture Partners, Accel India",Private Equity,4200000.0
1440,2016-08-12,Crofarm,Technology,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,4200000.0
1441,2016-08-12,Faircent.com,Consumer Internet,Brand Capital,Private Equity,4200000.0
1442,2016-08-12,Innovaccer,Technology,Westbridge Capital Partners,Private Equity,4200000.0
1443,2016-08-12,Cuberoot,Technology,Undisclosed Investors,Seed Funding,4200000.0
1444,2016-08-12,Funcastic,Consumer Internet,"HT Media Ltd, North Base Media",Seed Funding,4200000.0
1445,2016-08-15,Buttercups,ECommerce,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,4200000.0
1446,2016-08-16,Zappfresh,ECommerce,Ashvin Chadha,Seed Funding,4200000.0
1447,2016-08-16,OyoRooms,Consumer Internet,SoftBank Group,Private Equity,4200000.0
1448,2016-08-16,Hike,Consumer Internet,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,4200000.0
1449,2016-08-16,Joolz,eCommerce,"Powerhouse Ventures, M&S Partners",Private Equity,4200000.0
1450,2016-08-16,SaleBhai,eCommerce,Brand Capital,Private Equity,4200000.0
1451,2016-08-16,Makkajai,Technology,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,4200000.0
1452,2016-08-16,Gradopedia,Consumer Internet,Undisclosed Dubai based HNIs,Seed Funding,4200000.0
1453,2016-08-17,MaalGaadi,Logistics,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,4200000.0
1454,2016-08-17,ZiPi,Technology,Swan Angel Network,Seed Funding,4200000.0
1455,2016-08-17,Appknox,Technology,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,4200000.0
1456,2016-08-17,Pikkol,Logistics,Indian Angel Network,Seed Funding,4200000.0
1457,2016-08-18,Meesho,eCommerce,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,4200000.0
1458,2016-08-18,Sesame Software,Technology,Speridian Technologies,Private Equity,4200000.0
1459,2016-08-19,Quikr,Consumer Internet,Brand Capital,Private Equity,4200000.0
1460,2016-08-19,Digio,Technology,Rainmatter,Private Equity,4200000.0
1461,2016-08-19,Ziffity,Technology,Aspire Systems,Private Equity,4200000.0
1462,2016-08-22,Zzungry,Consumer Internet,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,4200000.0
1463,2016-08-22,Puro Wellness,healthcare,Torrent Group,Private Equity,4200000.0
1464,2016-08-22,Fitternity,Consumer Internet,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,4200000.0
1465,2016-08-23,TAC Security,Technology,Vijay Kedia,Seed Funding,4200000.0
1466,2016-08-23,Notesgen,Consumer Internet,"Riju Gupta, Kamal Chabra",Seed Funding,4200000.0
1467,2016-08-23,NearU,Consumer Internet,Dr. Goutam Challagalla,Seed Funding,4200000.0
1468,2016-08-23,Octo.ai,Technology,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,4200000.0
1469,2016-08-24,ShaadiSaga,Consumer Internet,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,4200000.0
1470,2016-08-24,UnaAcademy,Consumer Internet,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,4200000.0
1471,2016-08-24,Advenio,Technology,Kalaari Capital,Seed Funding,4200000.0
1472,2016-08-24,Guarented,eCommerce,Kalaari Capital,Seed Funding,4200000.0
1473,2016-08-24,Beyond Evolution,Technology,"Vineet Taneja, Kamal Puri",Seed Funding,4200000.0
1474,2016-08-24,Uber Dreams,eCommerce,Mohit Lalvani,Seed Funding,4200000.0
1475,2016-08-24,Convegenius,Education,Michael and Susan Dell Foundation,Private Equity,4200000.0
1476,2016-08-24,UrbanLadder,eCommerce,Trifecta Capital,Private Equity,4200000.0
1477,2016-08-24,enCashea,Consumer Internet,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,4200000.0
1478,2016-08-25,EngineerBabu,Technology,Scale Ventures,Seed Funding,4200000.0
1479,2016-08-25,Cult,Healthcare,CureFit,Private Equity,4200000.0
1480,2016-08-25,WitWorks,Technology,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,4200000.0
1481,2016-08-25,NearFox,Consumer Internet,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve",Seed Funding,4200000.0
1482,2016-08-25,ZoomCar,Consumer Internet,Ford Smart Mobility Llc,Private Equity,4200000.0
1483,2016-08-26,Plix,Consumer Internet,Instalabs,Seed Funding,4200000.0
1484,2016-08-26,Mobikwik,Consumer Internet,Net1 UEPS Technologies Inc,Private Equity,4200000.0
1485,2016-08-26,MyDidi,Consumer Internet,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,4200000.0
1486,2016-08-26,CrownIt,Consumer Internet,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,4200000.0
1487,2016-08-29,LoanTap,Consumer Internet,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,4200000.0
1488,2016-08-29,Runnr,Consumer Internet,"Nexus Venture Partners, Blume Ventures",Private Equity,4200000.0
1489,2016-08-29,Zolo,Consumer Internet,Hitouch AG,Private Equity,4200000.0
1490,2016-08-29,Notion Press,Consumer Internet,Undisclosed HNI investors,Private Equity,4200000.0
1491,2016-08-29,LivSpace,Consumer Internet,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,4200000.0
1492,2016-08-30,iAugmentor Labs,Technology,Rajasthan Angel Investor Network & Others,Seed Funding,4200000.0
1493,2016-08-30,DayBox,Consumer Internet,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,4200000.0
1494,2016-08-30,Paytm,eCommerce,MediaTek Inc.,Private Equity,4200000.0
1495,2016-08-30,CropIn,Technology,Sophia Investment ApS,Private Equity,4200000.0
1496,2016-08-30,Canvera,Consumer Internet,Info Edge (India) Ltd,Private Equity,4200000.0
1497,2016-08-30,Prime Focus Technologies,Technology,Ambit Pragma,Private Equity,4200000.0
1498,2016-08-31,Flyrobe,eCommerce,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,4200000.0
1499,2016-08-31,inclov,Consumer Internet,"Sarbvir Singh, Raghav Bahl",Seed Funding,4200000.0
1500,2016-07-01,RazorPay,Consumer Internet,MasterCard,Private Equity,4200000.0
1501,2016-07-01,DarwinBox,Technology,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,4200000.0
1502,2016-07-01,Venture Catalysts,Consumer Internet,Zaffiro Ventures,Seed Funding,4200000.0
1503,2016-07-01,PressPlay TV,Consumer Internet,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,4200000.0
1504,2016-07-02,Playment,Consumer Internet,SAIF Partners,Private Equity,4200000.0
1505,2016-07-04,WealthTrust,Consumer Internet,India Quotient,Seed Funding,4200000.0
1506,2016-07-04,Curefit,Consumer Internet,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,4200000.0
1507,2016-07-04,StitchWood,eCommerce,Deepak Gupta,Seed Funding,4200000.0
1508,2016-07-04,Grab.in,Logistics,Aramex Ventures Llc,Private Equity,4200000.0
1509,2016-07-04,Fulfil.IO,Consumer Internet,Rajan Anandan,Seed Funding,4200000.0
1510,2016-07-04,NeoGrowth,Finance,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,4200000.0
1511,2016-07-05,SeeDoc,Consumer Internet,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,4200000.0
1512,2016-07-05,BookMyShow,Consumer Internet,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,4200000.0
1513,2016-07-05,Flyrobe,eCommerce,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,4200000.0
1514,2016-07-06,HappilyUnmarried,eCommerce,Info Edge (India) Ltd,Private Equity,4200000.0
1515,2016-07-06,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,4200000.0
1516,2016-07-06,Wedding Wishlist,Consumer Internet,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,4200000.0
1517,2016-07-07,AppDaily,Technology,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,4200000.0
1518,2016-07-07,Adytude,Consumer Internet,Indian Angel Network,Private Equity,4200000.0
1519,2016-07-07,Quickli,Logistics,"AVG Group, 500 Startups",Private Equity,4200000.0
1520,2016-07-07,SpectraVR,Technology,Rothenberg Ventures,Seed Funding,4200000.0
1521,2016-07-08,Pitstop,Consumer Internet,"Alex Chua, Rahul Garg",Seed Funding,4200000.0
1522,2016-07-08,HolaChef,Consumer Internet,"Kalaari Capital, India Quotient",Private Equity,4200000.0
1523,2016-07-11,Purplle,eCommerce,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,4200000.0
1524,2016-07-11,Trak N Tell,Technology,Brian Acton,Private Equity,4200000.0
1525,2016-07-11,Overcart.com,eCommerce,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,4200000.0
1526,2016-07-12,SirionLabs,Technology,Sequoia Capital,Private Equity,4200000.0
1527,2016-07-12,GyanDhan,Consumer Internet,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,4200000.0
1528,2016-07-12,MintM,Consumer Internet,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,4200000.0
1529,2016-07-12,HitGrit,Consumer Internet,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,4200000.0
1530,2016-07-12,Find My Stay,Consumer Internet,"Rishi Parti, Yogesh Bansal",Seed Funding,4200000.0
1531,2016-07-13,YAAP,Consumer Internet,Rainmaker Ventures,Private Equity,4200000.0
1532,2016-07-13,Utoo Cabs,Consumer Internet,Ajay Piramal,Seed Funding,4200000.0
1533,2016-07-13,Twigly,Consumer Internet,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,4200000.0
1534,2016-07-13,ShareChat,Consumer Internet,"SAIF Partners, India Quotient",Private Equity,4200000.0
1535,2016-07-13,Urban Tailor,Consumer Internet,Unitus Seed Fund,Private Equity,4200000.0
1536,2016-07-13,RentMojo,Consumer Internet,"Accel Partners, IDG Ventures India",Private Equity,4200000.0
1537,2016-07-13,CityFurnish,Consumer Internet,Brand Capital,Seed Funding,4200000.0
1538,2016-07-13,HEAL Institute,Healthcare,"Jaspal Bindra, Parth Jindal",Seed Funding,4200000.0
1539,2016-07-14,Augrav,eCommerce,Keiretsu Forum,Seed Funding,4200000.0
1540,2016-07-14,ShoppinPal,Technology,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,4200000.0
1541,2016-07-14,TransTutors / AskIITians,Consumer Internet,500 Startups,Private Equity,4200000.0
1542,2016-07-15,WorkApps,Technology,SRI Capital,Seed Funding,4200000.0
1543,2016-07-15,BankerBay,Consumer Internet,undisclosed investors,Private Equity,4200000.0
1544,2016-07-15,BaggOut,eCommerce,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,4200000.0
1545,2016-07-15,TripShelf,eCommerce,GEMS group,Seed Funding,4200000.0
1546,2016-07-15,SatvaCart,eCommerce,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,4200000.0
1547,2016-07-15,Ridlr,Consumer Internet,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,4200000.0
1548,2016-07-18,Yellowdig,Consumer Internet,SRI Capital,Seed Funding,4200000.0
1549,2016-07-18,Zuppler,Consumer Internet,SRI Capital,Seed Funding,4200000.0
1550,2016-07-18,BlueStone,eCommerce,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,4200000.0
1551,2016-07-18,underDOGS,Technology,Intelli Reboot Digital Pvt. Ltd,Private Equity,4200000.0
1552,2016-07-18,ImageProVision,Technology,Satish Jamdar,Seed Funding,4200000.0
1553,2016-07-19,Sagacito,Technology,Star India Pvt. Ltd,Private Equity,4200000.0
1554,2016-07-19,Deal4Loans / Wishfin,Consumer Internet,Franklin Templeton International Services Pvt. Ltd,Private Equity,4200000.0
1555,2016-07-19,NiYO Solutions,Technology,Prime Venture Partners,Private Equity,4200000.0
1556,2016-07-19,AppLop,Consumer Internet,Green House Ventures Accelerator,Seed Funding,4200000.0
1557,2016-07-20,Tax2Win,Consumer Internet,Undisclosed Investors,Private Equity,4200000.0
1558,2016-07-20,Truckola,Logistics,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,4200000.0
1559,2016-07-20,iServe Financial,Consumer Internet,Nilesh Shah,Seed Funding,4200000.0
1560,2016-07-21,MyTaxiIndia,Consumer Internet,Nihon Kotsu Co,Private Equity,4200000.0
1561,2016-07-21,AbeRuk,eCommerce,Swastika Company Pvt Ltd,Seed Funding,4200000.0
1562,2016-07-21,Wiwigo,Consumer Internet,Indian Angel Network,Seed Funding,4200000.0
1563,2016-07-21,Drums Food,Food & Beverage,"Verlinvest, DSG Consumer Partners",Unknown,4200000.0
1564,2016-06-01,Chikoop,Consumer Internet,Undisclosed Investors,Seed Funding,4200000.0
1565,2016-06-01,BRIDGEi2I,Technology,Edelweiss Private Equity,Private Equity,4200000.0
1566,2016-06-02,Droom,eCommerce,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,4200000.0
1567,2016-06-02,Visit,Consumer Internet,MapmyIndia,Seed Funding,4200000.0
1568,2016-06-02,Atomberg,Technology,Parampara Capital,Private Equity,4200000.0
1569,2016-06-02,Coutloot,eCommerce,Venture Catalysts,Seed Funding,4200000.0
1570,2016-06-02,Limo,Consumer Internet,Rainmaker Ventures,Private Equity,4200000.0
1571,2016-06-03,iCliniq,Consumer Internet,MadhanKumar Madathupalayam,Seed Funding,4200000.0
