Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,Investors Name,InvestmentnType,Amount in USD
216,2018-07-25,Black Soil,Finance,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,4200000.0
217,2018-07-25,Trell,Consumer Internet,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,4200000.0
218,2018-07-25,iqlect,Technology,Ventureast and Exfinity,Seed/ Angel Funding,4200000.0
219,2018-07-26,Entropik,IT,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,4200000.0
220,2018-07-26,Bitla Software,Technology,MakeMyTrip,Private Equity,4200000.0
221,2018-07-26,TheCapitalNet,Fin-Tech,Lindwall Family Investments LLC (LFI),Private Equity,4200000.0
222,2018-07-30,Shuttl,Consumer Internet,Amazon Alexa Fund & Dentsu Ventures,Private Equity,4200000.0
223,2018-07-30,Cure Fit,Consumer Internet,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,4200000.0
224,2018-07-31,Five Star Group,Fin-Tech,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,4200000.0
225,2018-07-31,Healthsignz,Healthcare,Kantilal Patel,Seed/ Angel Funding,4200000.0
226,2018-06-01,CoinTribe,Finance,"Sabre Partners, Puneet Dalmia & Others",Private Equity,4200000.0
227,2018-06-04,Digiconectt,Technology,Aspire Logistics LLC,Seed/ Angel Funding,4200000.0
228,2018-06-04,Kashmir Box,E-Commerce,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,4200000.0
229,2018-06-05,Crowdera,Finance,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,4200000.0
230,2018-06-05,Zoctr,Healthcare,NB Ventures and Others,Seed/ Angel Funding,4200000.0
231,2018-06-07,Annapurna Finance,Finance,Oman India Joint Investment Fund (OIJIF),Private Equity,4200000.0
232,2018-06-07,Meesho,Consumer Internet,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,4200000.0
233,2018-06-10,AyeFinance,Finance,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,4200000.0
234,2018-06-11,Theranosis,Healthcare,Mumbai Angels Network,Seed/ Angel Funding,4200000.0
235,2018-06-12,Alpha Capital,Finance,Alpha Capital,Private Equity,4200000.0
236,2018-06-12,eshakti,E-Commerce,Paragon Partners,Private Equity,4200000.0
237,2018-06-12,Daily Ninja,Consumer Internet,Saama Capital and Sequoia Capital,Seed/ Angel Funding,4200000.0
238,2018-06-13,NirogStreet,Healthcare,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,4200000.0
239,2018-06-13,Nivesh,Finance,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,4200000.0
240,2018-06-13,What\\xe2\\x80\\x99s Up Life,Consumer Internet,Rannvijay Singha,Seed/ Angel Funding,4200000.0
241,2018-06-14,HomeLane,Consumer Internet,Brand Capital,Seed/ Angel Funding,4200000.0
242,2018-06-14,Network Intelligence,Technology,Helix Investments,Private Equity,4200000.0
243,2018-06-18,Tynor Othontics,Healthcare,Lighthouse Funds & Thuasne Participations,Private Equity,4200000.0
244,2018-06-18,Elucidata,IT,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,4200000.0
245,2018-06-19,Chrysalis,Ed-Tech,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,4200000.0
246,2018-06-19,RentSher,Consumer Internet,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,4200000.0
247,2018-06-20,Drip capital,Finance,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,4200000.0
248,2018-06-22,WickedRide,Consumer Internet,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,4200000.0
249,2018-06-25,PolicyBazaar,Consumer Internet,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,4200000.0
250,2018-06-25,HipBar,Consumer Internet,Diageo India,Private Equity,4200000.0
251,2018-06-25,Sqqrl,Finance,Equanimity Venture Fund,Seed/ Angel Funding,4200000.0
252,2018-06-26,Paytm,Technology,One 97 Communications,Private Equity,4200000.0
253,2018-06-26,Sigtuple,Healthcare,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,4200000.0
254,2018-06-27,Wow Express,Technology,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4200000.0
255,2018-06-28,Front Desk AI,Technology,Speciale Invest & Others,Seed/ Angel Funding,4200000.0
256,2018-06-28,Edureka,Ed-Tech,Leo Capital,Seed/ Angel Funding,4200000.0
257,2018-06-29,Numeroseven,Technology,Shiva Gunapu & Others,Seed/ Angel Funding,4200000.0
258,2018-05-02,OpenTap,Finance,Unknown High Net-Worth Individuals,Seed / Angel Funding,4200000.0
